CVCL_2M97	Q54743388
CVCL_2N21	Q54743450
CVCL_2N42	Q54751368
CVCL_2N44	Q54751372
CVCL_2N47	Q54751377
CVCL_2N58	Q54751403
CVCL_2N72	Q54751425
CVCL_2N78	Q54751473
CVCL_2N79	Q54751476
CVCL_2N83	Q54751485
CVCL_2N85	Q54751489
CVCL_2N88	Q54751495
CVCL_2N96	Q54751511
CVCL_2P05	Q54751529
CVCL_2P07	Q54751532
CVCL_2P08	Q54751534
CVCL_2P09	Q54751536
CVCL_2P19	Q54751601
CVCL_2P32	Q54751626
CVCL_2P34	Q54751631
CVCL_2P36	Q54751633
CVCL_2P43	Q54751644
CVCL_2P49	Q54751656
CVCL_2P50	Q54751657
CVCL_2P55	Q54751718
CVCL_2P57	Q54751722
CVCL_2P67	Q54751741
CVCL_2P88	Q54751790
CVCL_2P96	Q54751847
CVCL_2P99	Q54751853
CVCL_2Q00	Q54751855
CVCL_2Q07	Q54751866
CVCL_2Q08	Q54751868
CVCL_2Q12	Q54751876
CVCL_2Q21	Q54743761
CVCL_2Q22	Q54743763
CVCL_2Q25	Q54746328
CVCL_2Q49	Q54745886
CVCL_2Q51	Q54745890
CVCL_2Q55	Q54746330
CVCL_2Q59	Q54742714
CVCL_2Q83	Q54746371
CVCL_2Q86	Q54746378
CVCL_2Q87	Q54746380
CVCL_2Q94	Q54746394
CVCL_2Q98	Q54746401
CVCL_2R10	Q54746476
CVCL_2R25	Q54746512
CVCL_2R27	Q54746516
CVCL_2R29	Q54746520
CVCL_2R48	Q54746609
CVCL_2R61	Q54746636
CVCL_2R64	Q54746641
CVCL_2R67	Q54746646
CVCL_2R69	Q54746651
CVCL_2R70	Q54746653
CVCL_2R75	Q54746661
CVCL_2R81	Q54746732
CVCL_2R86	Q54746747
CVCL_2S02	Q54746997
CVCL_2S09	Q54747009
CVCL_2S11	Q54747015
CVCL_2S18	Q54747051
CVCL_2S23	Q54747158
CVCL_2S34	Q54747191
CVCL_2S36	Q54747195
CVCL_2S45	Q54747218
CVCL_2S59	Q54747343
CVCL_2S78	Q54747500
CVCL_2Y42	Q54748255
CVCL_2Y56	Q54748286
CVCL_2Y58	Q54748290
CVCL_3300	Q54808832
CVCL_3329	Q54795841
CVCL_3346	Q54749117
CVCL_3361	Q54807890
CVCL_3649	Q54752565
CVCL_3652	Q54796741
CVCL_3653	Q54796903
CVCL_3933	Q54809260
CVCL_4107	Q54750468
CVCL_4131	Q54798225
CVCL_4132	Q54798277
CVCL_4343	Q54799728
CVCL_4368	Q54748880
CVCL_4503	Q54752552
CVCL_4510	Q54807852
CVCL_4575	Q54749963
CVCL_4751	Q54798096
CVCL_4755	Q54798064
CVCL_4759	Q54798093
CVCL_4832	Q54797466
CVCL_4J80	Q54799748
CVCL_4J93	Q54741247
CVCL_4J96	Q54741252
CVCL_4K16	Q54741474
CVCL_4K17	Q54741510
CVCL_4K18	Q54741559
CVCL_4K33	Q54741628
CVCL_4K43	Q54741792
CVCL_4K46	Q54741854
CVCL_4K49	Q54741890
CVCL_4K54	Q54741901
CVCL_4K58	Q54741991
CVCL_4K59	Q54742126
CVCL_4K70	Q54742150
CVCL_4K71	Q54742153
CVCL_4K76	Q54742165
CVCL_4K79	Q54742171
CVCL_4K81	Q54742173
CVCL_4K83	Q54742177
CVCL_4K89	Q54742191
CVCL_4K98	Q54742212
CVCL_4L02	Q54742268
CVCL_4L17	Q54742346
CVCL_4L34	Q54742570
CVCL_4L41	Q54742666
CVCL_4L51	Q54742688
CVCL_4L65	Q54742748
CVCL_4L67	Q54742793
CVCL_4L79	Q54742820
CVCL_4L98	Q54743005
CVCL_4M02	Q54743084
CVCL_4M04	Q54743100
CVCL_4M17	Q54743259
CVCL_4M31	Q54743478
CVCL_4M33	Q54743483
CVCL_4M42	Q54743505
CVCL_4M57	Q54743616
CVCL_4M58	Q54743619
CVCL_4M62	Q54743752
CVCL_4M84	Q54745041
CVCL_4M85	Q54745042
CVCL_4M87	Q54745149
CVCL_4M91	Q54745222
CVCL_4N48	Q54740534
CVCL_4N83	Q54740849
CVCL_4N85	Q54740854
CVCL_4N91	Q54740870
CVCL_4N95	Q54740878
CVCL_4N96	Q54740880
CVCL_4P12	Q54740970
CVCL_4P17	Q54740983
CVCL_4P20	Q54740992
CVCL_4P27	Q54741015
CVCL_4P29	Q54741020
CVCL_4P35	Q54741035
CVCL_4P50	Q54741154
CVCL_4P60	Q54741736
CVCL_4P74	Q54742435
CVCL_4P82	Q54742454
CVCL_4P86	Q54742609
CVCL_4P88	Q54742834
CVCL_4Q04	Q54747902
CVCL_4Q05	Q54747903
CVCL_4Q17	Q54748058
CVCL_4Q21	Q54748069
CVCL_4Q30	Q54748307
CVCL_4Q34	Q54748320
CVCL_4U92	Q54749784
CVCL_4V09	Q54809284
CVCL_4V10	Q54809281
CVCL_4V69	Q54796208
CVCL_4W00	Q54752143
CVCL_4Z02	Q54808249
CVCL_4Z21	Q54750464
CVCL_5116	Q54797271
CVCL_5243	Q54750469
CVCL_5245	Q54807810
CVCL_5247	Q54808239
CVCL_5248	Q54808240
CVCL_5249	Q54808248
CVCL_5493	Q54795970
CVCL_5687	Q54753116
CVCL_5689	Q54753121
CVCL_5694	Q54753133
CVCL_5702	Q54753200
CVCL_5703	Q54753203
CVCL_5704	Q54753211
CVCL_5712	Q54798499
CVCL_5714	Q54808332
CVCL_5717	Q54809076
CVCL_5718	Q54809077
CVCL_5930	Q54808174
CVCL_5934	Q54808242
CVCL_5936	Q54808276
CVCL_5967	Q54749724
CVCL_5A95	Q54798146
CVCL_5G35	Q54798606
CVCL_5G96	Q54799774
CVCL_5G98	Q54799982
CVCL_5I58	Q54809347
CVCL_5I60	Q54809356
CVCL_5I61	Q54809345
CVCL_5I87	Q54752449
CVCL_5J17	Q54752445
CVCL_5T71	Q54796280
CVCL_5U30	Q54808303
CVCL_6249	Q54749085
CVCL_6275	Q54796045
CVCL_6277	Q54752672
CVCL_6279	Q54796490
CVCL_6284	Q54796503
CVCL_6316	Q54808209
CVCL_6372	Q54797672
CVCL_6374	Q54807884
CVCL_6380	Q54808245
CVCL_6564	Q54749118
CVCL_6571	Q54796232
CVCL_6576	Q54797370
CVCL_6813	Q54808254
CVCL_6823	Q54808126
CVCL_6A88	Q54752861
CVCL_6B37	Q54799761
CVCL_6B49	Q54799768
CVCL_6F06	Q54752145
CVCL_6G47	Q54797332
CVCL_7174	Q54751896
CVCL_8170	Q54749095
CVCL_8172	Q54750349
CVCL_8340	Q54751266
CVCL_8499	Q54750704
CVCL_8662	Q54808263
CVCL_8840	Q54808289
CVCL_8B69	Q54740325
CVCL_8B72	Q54742330
CVCL_8B78	Q54742825
CVCL_8B80	Q54748955
CVCL_8B89	Q54795056
CVCL_8B93	Q54795872
CVCL_8S68	Q54796303
CVCL_8S71	Q54796309
CVCL_8S81	Q54796325
CVCL_8S87	Q54796966
CVCL_8S93	Q54797698
CVCL_8T08	Q54797744
CVCL_8T31	Q54797784
CVCL_8T37	Q54797817
CVCL_8T46	Q54797830
CVCL_8T73	Q54797875
CVCL_8T78	Q54797913
CVCL_9242	Q54749960
CVCL_9666	Q54796996
CVCL_9667	Q54797314
CVCL_9704	Q54808965
CVCL_9T36	Q54799646
CVCL_9T38	Q54799648
CVCL_9T43	Q54799655
CVCL_9T56	Q54799671
CVCL_9T65	Q54799683
CVCL_9T67	Q54799686
CVCL_9U96	Q54795228
CVCL_A052	Q54750183
CVCL_A411	Q54751277
CVCL_A412	Q54751281
CVCL_AT95	Q54749819
CVCL_AT98	Q54749814
CVCL_B329	Q54749313
CVCL_B330	Q54749317
CVCL_B388	Q54753114
CVCL_B963	Q54750540
CVCL_B980	Q54798190
CVCL_B983	Q54798195
CVCL_B985	Q54798199
CVCL_B992	Q54750529
CVCL_C133	Q54797100
CVCL_C136	Q54797112
CVCL_C151	Q54797215
CVCL_C156	Q54797238
CVCL_C164	Q54797249
CVCL_C329	Q54795756
CVCL_C626	Q54752330
CVCL_D300	Q54752024
CVCL_D301	Q54752029
CVCL_D308	Q54808632
CVCL_D597	Q54809280
CVCL_D635	Q54752818
CVCL_D653	Q54751979
CVCL_D655	Q54795331
CVCL_D911	Q54749574
CVCL_DA20	Q54749237
CVCL_DB43	Q54808210
CVCL_DC11	Q54798645
CVCL_DC71	Q54750582
CVCL_DD24	Q54796375
