 
Q54582888	CVCL_J986
Q54582889	CVCL_J164
Q54582892	CVCL_6345
Q54582893	CVCL_D149
Q54582896	CVCL_X694
Q54582897	CVCL_5384
Q54582898	CVCL_J416
Q54582901	CVCL_J165
Q54582903	CVCL_J166
Q54582904	CVCL_G577
Q54582906	CVCL_0113
Q54582908	CVCL_J417
Q54582909	CVCL_RY05
Q54582910	CVCL_RY06
Q54582912	CVCL_RY07
Q54582913	CVCL_LC06
Q54582915	CVCL_DD99
Q54582916	CVCL_6761
Q54582919	CVCL_J659
Q54582920	CVCL_9V13
Q54582922	CVCL_T341
Q54582924	CVCL_IY39
Q54582925	CVCL_T366
Q54582928	CVCL_J167
Q54582929	CVCL_6346
Q54582932	CVCL_J174
Q54582935	CVCL_7235
Q54582936	CVCL_9148
Q54582937	CVCL_J923
Q54582939	CVCL_G578
Q54582943	CVCL_G579
Q54582944	CVCL_T975
Q54582947	CVCL_J620
Q54582949	CVCL_D659
Q54583034	CVCL_M026
Q54583035	CVCL_E370
Q54583038	CVCL_J511
Q54583040	CVCL_U759
Q54583042	CVCL_V364
Q54583043	CVCL_0114
Q54583044	CVCL_5448
Q54583045	CVCL_E371
Q54583046	CVCL_J316
Q54583048	CVCL_E433
Q54583049	CVCL_U402
Q54583050	CVCL_G029
Q54583054	CVCL_6553
Q54583056	CVCL_A062
Q54583058	CVCL_A063
Q54583060	CVCL_A064
Q54583061	CVCL_A065
Q54583071	CVCL_X481
Q54583073	CVCL_E372
Q54583075	CVCL_J317
Q54583077	CVCL_J581
Q54583078	CVCL_E434
Q54583080	CVCL_E373
Q54583083	CVCL_J582
Q54583084	CVCL_J543
Q54583086	CVCL_S828
Q54583087	CVCL_J865
Q54583091	CVCL_J571
Q54583092	CVCL_E435
Q54583094	CVCL_C520
Q54583096	CVCL_E374
Q54583099	CVCL_C521
Q54583101	CVCL_J866
Q54583103	CVCL_4086
Q54583105	CVCL_CZ90
Q54583107	CVCL_E436
Q54583110	CVCL_8996
Q54583112	CVCL_VI34
Q54583114	CVCL_6347
Q54583116	CVCL_9149
Q54583205	CVCL_VI35
Q54583206	CVCL_VI36
Q54583208	CVCL_6348
Q54583211	CVCL_9150
Q54583213	CVCL_C522
Q54583214	CVCL_C523
Q54583215	CVCL_M068
Q54583218	CVCL_M069
Q54583220	CVCL_E375
Q54583221	CVCL_8069
Q54583223	CVCL_8070
Q54583225	CVCL_LB77
Q54583227	CVCL_U658
Q54583229	CVCL_U659
Q54583232	CVCL_U660
Q54583233	CVCL_E376
Q54583235	CVCL_E377
Q54583237	CVCL_E378
Q54583239	CVCL_E379
Q54583240	CVCL_J867
Q54583241	CVCL_E380
Q54583242	CVCL_JD32
Q54583245	CVCL_0B42
Q54583247	CVCL_G580
Q54583249	CVCL_E381
Q54583251	CVCL_IV63
Q54583253	CVCL_0U24
Q54583254	CVCL_DB42
Q54583256	CVCL_7931
Q54583258	CVCL_7932
Q54583260	CVCL_7933
Q54583263	CVCL_7934
Q54583264	CVCL_E382
Q54583266	CVCL_F248
Q54583269	CVCL_1T15
Q54583270	CVCL_E383
Q54583271	CVCL_J583
Q54583273	CVCL_1T16
Q54583274	CVCL_E384
Q54583276	CVCL_E385
Q54583357	CVCL_KB79
Q54583360	CVCL_J594
Q54583362	CVCL_E386
Q54583365	CVCL_J868
Q54583366	CVCL_F957
Q54583367	CVCL_6349
